step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec, timer_data, timer_fwd, timer_loss, timer_bwd, timer_clip, timer_optim, timer_tok_emb, timer_pos_emb, timer_mlp, timer_ln_f, timer_lm_head 
0,10.889219,10.890491,0.000001,1.242421,2631.056885,24908.621467,0.270528,365.671101,41.392448,1024.359596,35.659969,3.049568,3.223360,1.922304,331.205279,5.074720,924.193577
1,10.890398,-1.000000,0.000001,2.237097,1418.525757,46200.077569,0.215968,351.105473,40.405952,986.911362,37.128929,2.071520,0.944224,0.229152,74.553184,1.439680,249.132446
2,10.888073,-1.000000,0.000002,2.318660,1434.248657,45693.610846,0.189440,363.323174,41.389247,988.718590,37.779808,1.880576,0.928480,0.230176,81.018848,1.459808,253.643936
3,10.888615,-1.000000,0.000002,2.252460,1427.461548,45910.868912,0.183520,356.571293,40.753151,990.979836,36.684929,1.905376,0.941280,0.228288,75.775520,1.440992,252.760000
4,10.880936,-1.000000,0.000003,2.231456,1435.183472,45663.848068,0.184224,362.589405,43.801696,989.408165,36.301086,1.942112,0.936800,0.229600,77.923456,1.452928,254.457085
5,10.884266,-1.000000,0.000004,2.279106,1473.012817,44491.126775,0.199584,366.559296,41.670464,1022.248184,39.200161,1.884768,0.937536,0.234208,79.411583,1.455904,257.426403
6,10.869029,-1.000000,0.000004,2.258497,1461.921265,44828.679618,0.196192,360.595936,41.524159,1016.951172,39.759937,2.127168,0.943296,0.227936,78.782656,1.445920,252.610176
7,10.869639,-1.000000,0.000005,2.224098,1453.633667,45084.261247,0.192544,362.963490,41.509408,1009.509407,36.589314,1.909184,0.934560,0.232384,78.821760,1.437184,256.679201
8,10.854717,-1.000000,0.000006,2.207212,1472.895874,44494.659233,0.176928,371.731552,42.899104,1015.276070,38.104927,1.888224,0.958240,0.231136,81.753568,1.442720,260.790436
9,10.847652,-1.000000,0.000006,2.252134,1470.106079,44579.095979,0.192992,366.197884,43.607232,1015.979652,39.578911,1.888864,0.968384,0.228224,76.405568,1.460096,258.950752
10,10.837853,-1.000000,0.000007,2.229826,1468.698853,44621.809220,0.196064,366.363682,41.849952,1019.332336,37.980511,1.939008,0.939104,0.230784,80.358209,1.445984,255.848320
11,10.836649,-1.000000,0.000007,2.150959,1469.432617,44599.527214,0.370624,365.404606,41.683264,1019.051582,39.394913,2.193440,1.117088,0.230464,80.386464,1.458432,256.157665
12,10.814086,-1.000000,0.000008,2.282150,1469.886230,44585.763606,0.188800,364.172867,41.285728,1021.372635,39.542271,1.881536,0.946112,0.230656,79.298143,1.465344,256.466305
13,10.803425,-1.000000,0.000009,2.306333,1466.776855,44680.279591,0.185280,369.165310,43.190945,1013.210762,37.496063,1.910144,0.939968,0.231520,80.113792,1.437280,259.182241
14,10.789560,-1.000000,0.000009,2.336312,1473.804688,44467.221848,0.184480,372.184738,43.432257,1016.648399,36.709023,1.884992,0.931584,0.234432,80.522144,1.439168,261.922623
15,10.787304,-1.000000,0.000010,2.228664,1472.101929,44518.656434,0.191552,369.302818,42.950688,1016.896889,39.739426,2.070112,0.946400,0.227776,80.372417,1.450624,260.031778
16,10.768969,-1.000000,0.000010,2.243255,1463.395508,44783.518639,0.182912,366.136288,42.817280,1011.218300,37.998562,1.886688,0.945216,0.230560,77.497120,1.464416,259.625631
17,10.745562,-1.000000,0.000011,2.312869,1459.699097,44896.924407,0.211072,363.635265,41.790688,1014.208122,37.444416,1.890368,0.942816,0.242784,77.765985,1.445536,255.952158
18,10.731115,-1.000000,0.000012,2.331757,1458.848633,44923.097932,0.190880,360.729370,42.055232,1013.760460,38.589279,2.299328,0.958592,0.224352,77.500159,1.476480,254.186239
19,10.718843,-1.000000,0.000012,2.315304,1470.874634,44555.802714,0.182112,371.497921,42.380160,1015.691483,37.691872,1.910976,0.942464,0.234976,81.568672,1.445600,262.448542
20,10.698424,-1.000000,0.000013,2.320034,1463.389404,44783.705422,0.175008,367.595715,43.918463,1009.583054,38.244129,1.888096,1.085568,0.232384,79.567264,1.448864,259.562332
21,10.680383,-1.000000,0.000013,2.353284,1468.563843,44625.911446,0.185568,365.334526,41.504992,1017.837822,39.874977,1.887840,0.950848,0.236800,79.565312,1.466592,255.986980
22,10.675328,-1.000000,0.000014,2.305469,1465.568359,44717.122597,0.179872,363.868797,41.441376,1016.754181,38.923935,1.888576,0.981856,0.227168,77.746464,1.446144,256.142017
23,10.657139,-1.000000,0.000015,2.276651,1471.223389,44545.240719,0.197760,366.328381,41.199327,1022.295837,37.696064,1.889312,0.939104,0.227488,80.481632,1.451296,257.412546
24,10.627276,-1.000000,0.000015,2.334481,1466.419067,44691.181026,0.192736,365.664764,40.503264,1018.027542,38.957054,1.886336,0.941024,0.228672,79.961278,1.446624,255.294973
